iter	MultiClass
0	1.755468367
1	1.716419095
2	1.686479782
3	1.65473032
4	1.618909668
5	1.585043981
6	1.55549917
7	1.527442223
8	1.499601621
9	1.476559168
10	1.45005983
11	1.426753818
12	1.405547408
13	1.379518454
14	1.354611766
15	1.335554221
16	1.312384043
17	1.292497456
18	1.274216185
19	1.254897459
20	1.2356534
21	1.215449681
22	1.194804505
23	1.181045669
24	1.165112064
25	1.153253793
26	1.138692993
27	1.123304931
28	1.106914236
29	1.094148497
30	1.082175358
31	1.06738446
32	1.054206383
33	1.043774589
34	1.032289112
35	1.020850521
36	1.01022256
37	1.000107667
38	0.9914953928
39	0.9812746114
40	0.9726114151
41	0.963131468
42	0.9535739359
43	0.9440862153
44	0.9361376968
45	0.9259225219
46	0.9187806066
47	0.9116484897
48	0.9027739483
49	0.8935675285
50	0.8852563113
51	0.8774703827
52	0.8701260682
53	0.861679261
54	0.8548861572
55	0.8479231165
56	0.8403721662
57	0.8354516181
58	0.8291010396
59	0.8231799631
60	0.8165855637
61	0.8108098098
62	0.8040746321
63	0.7987529574
64	0.7930079649
65	0.7876724626
66	0.7825805793
67	0.777170132
68	0.7721263508
69	0.7667526024
70	0.7611274497
71	0.7563089326
72	0.751961794
73	0.7466572124
74	0.7420781044
75	0.7374380513
76	0.7310442728
77	0.7264893641
78	0.7216410504
79	0.7157585744
80	0.7113095639
81	0.7072918847
82	0.7031407047
83	0.6995373214
84	0.6961522332
85	0.6924811424
86	0.6882452158
87	0.6831860421
88	0.6787889358
89	0.6756174087
90	0.6722559237
91	0.6686252413
92	0.6654516379
93	0.6618148394
94	0.6588521236
95	0.6546162648
96	0.6507928387
97	0.647023631
98	0.6439827373
99	0.6402197218
100	0.637213534
101	0.6349019848
102	0.6314103372
103	0.6281522517
104	0.6249242421
105	0.6213604457
106	0.6185543163
107	0.6151399017
108	0.6123979253
109	0.6095530308
110	0.6069848993
111	0.6046159635
112	0.6019088295
113	0.5990826273
114	0.5966548178
115	0.5937526869
116	0.5919206351
117	0.5895989416
118	0.5865843817
119	0.5842840663
120	0.5819574718
121	0.5793413472
122	0.5766065955
123	0.5746633316
124	0.5724285514
125	0.5697354087
126	0.5663805783
127	0.5639886457
128	0.5616744248
129	0.5595905202
130	0.5575273228
131	0.5547890034
132	0.5523582543
133	0.5503174218
134	0.5481211719
135	0.5458157339
136	0.5426427645
137	0.5405574664
138	0.5387696335
139	0.5362221555
140	0.5336360002
141	0.5318255196
142	0.5302609827
143	0.5275617349
144	0.5251424574
145	0.5226781474
146	0.5208351848
147	0.5189139951
148	0.5168668696
149	0.5151002406
150	0.512968124
151	0.5113098145
152	0.5095910666
153	0.5071410232
154	0.5050341147
155	0.5030604416
156	0.50132666
157	0.4990437805
158	0.4970164433
159	0.495123653
160	0.4931861477
161	0.4912657596
162	0.4892942768
163	0.4880496838
164	0.4866012775
165	0.4851283256
166	0.4830638649
167	0.4812361028
168	0.4791617224
169	0.4766881874
170	0.4749605989
171	0.4734329848
172	0.4720670745
173	0.4704082589
174	0.4689815945
175	0.4676395058
176	0.4655518203
177	0.4641284213
178	0.462371623
179	0.4610373359
180	0.4592651603
181	0.4575867046
182	0.45561697
183	0.4536783468
184	0.4518275235
185	0.4504918074
186	0.4485247318
187	0.4470520012
188	0.4455633512
189	0.4444184597
190	0.442644063
191	0.4414371902
192	0.4396755073
193	0.4379057384
194	0.43637049
195	0.4345220442
196	0.4334086459
197	0.4317632932
198	0.4302350088
199	0.4288633047
200	0.4269181083
201	0.4254616202
202	0.4240764298
203	0.4226625374
204	0.4212414856
205	0.4197719211
206	0.4182743083
207	0.4170259927
208	0.4154887276
209	0.4141404573
210	0.4131286311
211	0.4118600868
212	0.4100514855
213	0.4085720393
214	0.4070760453
215	0.4054874877
216	0.403657708
217	0.4023161926
218	0.4009679531
219	0.3989690874
220	0.3976958188
221	0.3963503781
222	0.3952798846
223	0.3939516026
224	0.3926154608
225	0.3914352106
226	0.3900294726
227	0.3888494406
228	0.3878864929
229	0.3869256582
230	0.385904817
231	0.384849667
232	0.3836544462
233	0.3826850715
234	0.3813589742
235	0.3799416402
236	0.3787438825
237	0.377354827
238	0.3759166703
239	0.3752371543
240	0.3741388703
241	0.3732063052
242	0.3721089013
243	0.3708110214
244	0.3695904703
245	0.3682637036
246	0.3675162956
247	0.3664552814
248	0.3651552034
249	0.3639665253
250	0.362556949
251	0.3615275802
252	0.3599963501
253	0.3590193881
254	0.357860462
255	0.3566215117
256	0.3550860542
257	0.3539574844
258	0.3527330939
259	0.3515962791
260	0.3505709819
261	0.349708921
262	0.3484273014
263	0.3473264452
264	0.3463620437
265	0.3454327877
266	0.3445926965
267	0.3435601745
268	0.3421100946
269	0.3411167636
270	0.3403319252
271	0.3392858457
272	0.3382892337
273	0.3372976437
274	0.336369291
275	0.3353050108
276	0.3343886871
277	0.333137137
