iter	Passed	Remaining
0	149	74385
1	155	38717
2	162	26909
3	168	20904
4	175	17379
5	182	15031
6	189	13361
7	196	12091
8	203	11097
9	210	10315
10	216	9641
11	223	9087
12	229	8596
13	235	8184
14	241	7823
15	247	7501
16	254	7231
17	260	6980
18	266	6756
19	273	6563
20	280	6389
21	286	6219
22	292	6071
23	299	5936
24	305	5805
25	312	5688
26	318	5574
27	324	5470
28	331	5376
29	349	5473
30	355	5376
31	361	5287
32	367	5202
33	373	5121
34	379	5044
35	385	4969
36	391	4899
37	397	4834
38	403	4769
39	410	4715
40	416	4657
41	422	4607
42	428	4556
43	434	4505
44	441	4462
45	447	4413
46	452	4366
47	460	4332
48	465	4287
49	472	4249
50	478	4208
51	483	4168
52	490	4133
53	495	4095
54	501	4060
55	508	4028
56	513	3993
57	520	3965
58	526	3934
59	532	3903
60	538	3875
61	544	3845
62	550	3819
63	556	3793
64	562	3765
65	568	3739
66	574	3712
67	580	3687
68	586	3665
69	592	3639
70	598	3616
71	604	3593
72	610	3570
73	616	3550
74	622	3529
75	629	3511
76	635	3493
77	641	3472
78	647	3452
79	653	3432
80	659	3413
81	665	3394
82	673	3382
83	679	3365
84	685	3346
85	691	3328
86	697	3309
87	703	3294
88	709	3277
89	715	3261
90	722	3245
91	727	3227
92	733	3212
93	740	3196
94	746	3181
95	752	3167
96	758	3152
97	764	3136
98	771	3123
99	777	3108
100	783	3095
101	789	3082
102	796	3068
103	802	3055
104	808	3042
105	814	3029
106	821	3016
107	827	3002
108	833	2990
109	839	2977
110	846	2965
111	852	2953
112	858	2940
113	865	2929
114	871	2916
115	877	2904
116	884	2893
117	890	2881
118	896	2870
119	902	2859
120	909	2847
121	915	2837
122	921	2825
123	927	2813
124	934	2802
125	940	2791
126	946	2781
127	953	2769
128	959	2760
129	966	2749
130	972	2738
131	978	2728
132	984	2717
133	990	2706
134	997	2696
135	1003	2686
136	1009	2675
137	1016	2665
138	1022	2654
139	1028	2643
140	1034	2632
141	1040	2623
142	1046	2613
143	1052	2603
144	1059	2593
145	1065	2584
146	1071	2574
147	1078	2564
148	1084	2555
149	1090	2545
150	1097	2536
151	1103	2526
152	1109	2516
153	1115	2507
154	1121	2497
155	1128	2488
156	1134	2478
157	1140	2468
158	1147	2460
159	1153	2450
160	1160	2444
161	1167	2436
162	1175	2429
163	1181	2420
164	1187	2411
165	1194	2402
166	1199	2392
167	1206	2384
168	1212	2375
169	1218	2366
170	1225	2357
171	1230	2347
172	1236	2337
173	1242	2328
174	1248	2318
175	1254	2309
176	1261	2301
177	1266	2291
178	1273	2282
179	1278	2273
180	1284	2264
181	1291	2255
182	1296	2246
183	1303	2238
184	1309	2230
185	1315	2221
186	1322	2212
187	1328	2204
188	1334	2195
189	1340	2186
190	1346	2178
191	1352	2169
192	1358	2161
193	1364	2152
194	1370	2143
195	1376	2134
196	1382	2126
197	1388	2117
198	1394	2109
199	1400	2100
200	1407	2093
201	1413	2084
202	1418	2076
203	1425	2068
204	1431	2060
205	1437	2051
206	1443	2043
207	1449	2035
208	1455	2027
209	1462	2019
210	1468	2011
211	1474	2003
212	1480	1994
213	1486	1987
214	1493	1979
215	1499	1971
216	1506	1964
217	1512	1956
218	1517	1947
219	1523	1939
220	1529	1931
221	1536	1924
222	1542	1915
223	1548	1907
224	1555	1900
225	1561	1892
226	1567	1885
227	1574	1877
228	1579	1869
229	1585	1861
230	1591	1853
231	1597	1845
232	1603	1837
233	1609	1829
234	1615	1822
235	1622	1814
236	1627	1806
237	1634	1799
238	1649	1801
239	1655	1793
240	1662	1787
241	1669	1779
242	1675	1771
243	1682	1764
244	1688	1757
245	1694	1749
246	1700	1742
247	1706	1734
248	1713	1726
249	1719	1719
250	1725	1711
251	1731	1703
252	1737	1696
253	1743	1688
254	1750	1681
255	1756	1674
256	1762	1666
257	1769	1659
258	1775	1652
259	1781	1644
260	1789	1638
261	1796	1631
262	1803	1624
263	1809	1617
264	1815	1609
265	1821	1602
266	1827	1594
267	1834	1587
268	1840	1580
269	1846	1573
270	1853	1565
271	1859	1558
272	1865	1551
273	1871	1544
274	1878	1536
275	1884	1529
276	1890	1521
277	1897	1515
278	1903	1507
279	1909	1500
280	1915	1493
281	1929	1491
282	1936	1484
283	1942	1477
284	1949	1470
285	1955	1462
286	1961	1455
287	1967	1448
288	1974	1441
289	1980	1434
290	1986	1426
291	1993	1419
292	1999	1412
293	2005	1404
294	2011	1397
295	2017	1390
296	2023	1383
297	2030	1376
298	2036	1368
299	2043	1362
300	2049	1354
301	2055	1347
302	2061	1340
303	2068	1333
304	2074	1326
305	2080	1319
306	2086	1312
307	2093	1305
308	2099	1297
309	2105	1290
310	2112	1283
311	2118	1276
312	2124	1269
313	2130	1262
314	2137	1255
315	2143	1248
316	2150	1241
317	2157	1234
318	2164	1228
319	2171	1221
320	2177	1214
321	2184	1207
322	2190	1200
323	2197	1193
324	2203	1186
325	2209	1179
326	2215	1172
327	2222	1165
328	2228	1158
329	2234	1151
330	2240	1144
331	2247	1137
332	2252	1129
333	2259	1122
334	2265	1115
335	2271	1108
336	2277	1101
337	2283	1094
338	2290	1087
339	2296	1080
340	2302	1073
341	2308	1066
342	2314	1059
343	2320	1052
344	2326	1045
345	2332	1038
346	2338	1031
347	2344	1024
348	2350	1017
349	2356	1009
350	2362	1002
351	2369	996
352	2375	989
353	2381	982
354	2387	975
355	2394	968
356	2400	961
357	2406	954
358	2413	947
359	2419	940
360	2425	933
361	2431	926
362	2437	919
363	2443	912
364	2449	906
365	2456	899
366	2462	892
367	2468	885
368	2475	878
369	2481	871
370	2487	864
371	2493	858
372	2499	851
373	2506	844
374	2512	837
375	2518	830
376	2524	823
377	2530	816
378	2537	809
379	2543	803
380	2550	796
381	2556	789
382	2562	782
383	2568	775
384	2574	769
385	2580	762
386	2587	755
387	2593	748
388	2599	741
389	2605	734
390	2611	728
391	2618	721
392	2624	714
393	2631	708
394	2638	701
395	2644	694
396	2652	688
397	2659	681
398	2666	675
399	2673	668
400	2679	661
401	2686	654
402	2692	648
403	2698	641
404	2704	634
405	2711	627
406	2717	620
407	2723	614
408	2729	607
409	2736	600
410	2742	593
411	2748	587
412	2755	580
413	2761	573
414	2767	566
415	2774	560
416	2780	553
417	2786	546
418	2792	539
419	2798	533
420	2804	526
421	2810	519
422	2816	512
423	2823	506
424	2831	499
425	2839	493
426	2846	486
427	2852	479
428	2858	473
429	2864	466
430	2871	459
431	2880	453
432	2889	447
433	2899	440
434	2908	434
435	2920	428
436	2931	422
437	2939	416
438	2951	410
439	2959	403
440	2967	397
441	2975	390
442	2983	383
443	2990	377
444	2997	370
445	3004	363
446	3013	357
447	3020	350
448	3028	343
449	3034	337
450	3042	330
451	3049	323
452	3056	317
453	3063	310
454	3069	303
455	3077	296
456	3083	290
457	3091	283
458	3097	276
459	3104	269
460	3111	263
461	3118	256
462	3126	249
463	3132	243
464	3141	236
465	3148	229
466	3156	223
467	3163	216
468	3169	209
469	3176	202
470	3183	195
471	3190	189
472	3196	182
473	3204	175
474	3211	169
475	3217	162
476	3225	155
477	3232	148
478	3239	142
479	3245	135
480	3253	128
481	3259	121
482	3266	114
483	3273	108
484	3280	101
485	3287	94
486	3293	87
487	3300	81
488	3307	74
489	3314	67
490	3321	60
491	3328	54
492	3336	47
493	3342	40
494	3350	33
495	3357	27
496	3364	20
497	3371	13
498	3378	6
499	3385	0
