iter	MultiClass
0	1.745596312
1	1.703978242
2	1.663967519
3	1.62534156
4	1.591140282
5	1.559239974
6	1.52816864
7	1.498393804
8	1.472436561
9	1.446461437
10	1.424607232
11	1.402499115
12	1.379398387
13	1.356827073
14	1.336223821
15	1.315968986
16	1.299253436
17	1.280558261
18	1.265031912
19	1.24913513
20	1.235732538
21	1.221115988
22	1.206912784
23	1.192221005
24	1.176613684
25	1.163785537
26	1.151512927
27	1.140787639
28	1.1286004
29	1.117782077
30	1.106805361
31	1.097106349
32	1.087635971
33	1.077301331
34	1.067732058
35	1.057656726
36	1.048944162
37	1.040149999
38	1.03159587
39	1.023086489
40	1.016460762
41	1.007504413
42	0.9987412138
43	0.9917537743
44	0.9848192952
45	0.9776916794
46	0.9710857713
47	0.9651188547
48	0.9603076704
49	0.9541531752
50	0.9490791639
51	0.9436833978
52	0.9376588415
53	0.9313056295
54	0.9248115407
55	0.918906588
56	0.9141244629
57	0.9079817164
58	0.902561864
59	0.8971071789
60	0.8917144533
61	0.8859446185
62	0.8799456462
63	0.8755533019
64	0.871000273
65	0.8663916566
66	0.8619066813
67	0.8577415238
68	0.8532875307
69	0.8498776545
70	0.8460705635
71	0.8421401438
72	0.8385186177
73	0.8347266441
74	0.8311150293
75	0.827117419
76	0.8234034354
77	0.8189416716
78	0.8149155369
79	0.8110003536
80	0.8074693827
81	0.8034214392
82	0.800610863
83	0.7966786807
84	0.7933145987
85	0.7908109013
86	0.7876835073
87	0.7844544536
88	0.7817112555
89	0.7791125132
90	0.7761442924
91	0.7736095983
92	0.7711271108
93	0.7681053606
94	0.7655470879
95	0.7628151856
96	0.7604841948
97	0.7574436212
98	0.7545331802
99	0.7517977313
100	0.7493281034
101	0.7474370075
102	0.74482481
103	0.7425473836
104	0.7407413859
105	0.7382539619
106	0.7354474767
107	0.7335234389
108	0.731659118
109	0.7295117353
110	0.7276116503
111	0.7253881739
112	0.7231071443
113	0.7209766671
114	0.7187900566
115	0.7169897255
116	0.7153104645
117	0.7132298743
118	0.7118575488
119	0.7099252042
120	0.7078460129
121	0.7059766768
122	0.7043219692
123	0.702711935
124	0.7011591523
125	0.699190368
126	0.697805649
127	0.6958114325
128	0.694602216
129	0.6929775061
130	0.6905750753
131	0.6891272104
132	0.6868773977
133	0.6854921019
134	0.6841101188
135	0.6820070831
136	0.6795216236
137	0.6781237007
138	0.676775548
139	0.67554672
140	0.6746352476
141	0.672924644
142	0.6714011343
143	0.6701674821
144	0.6685414834
145	0.6670823161
146	0.6653735989
147	0.6637460676
148	0.6620582387
149	0.6603905561
150	0.6586207445
151	0.6567416596
152	0.6554924046
153	0.6541881516
154	0.6534748922
155	0.6518647292
156	0.6505501178
157	0.6500114504
158	0.6486160601
159	0.6467235902
160	0.645464832
161	0.6446392776
162	0.6433498465
163	0.6416074118
164	0.6400608732
165	0.638943706
166	0.6376200415
167	0.6361774638
168	0.6348447028
169	0.6335694676
170	0.632063107
171	0.6308591903
172	0.6291018193
173	0.6282895004
174	0.6275085567
175	0.6262130506
176	0.6252337625
177	0.624562125
178	0.6238830554
179	0.6222251782
180	0.6211222746
181	0.6203188924
182	0.6190871949
183	0.6180918404
184	0.6166155897
185	0.6153405245
186	0.6138038442
187	0.6124104036
188	0.6114869691
189	0.6097847726
190	0.6086363021
191	0.6071985529
192	0.6063646631
193	0.6051557314
194	0.6036404559
195	0.6026433513
196	0.6016172773
197	0.6005060297
198	0.5993383874
199	0.5979306085
200	0.5970173924
201	0.5961828326
202	0.5953737275
203	0.5946384055
204	0.593551236
205	0.5927463214
206	0.5917543778
207	0.5912677367
208	0.59020181
209	0.5891830674
210	0.5876671816
211	0.5868653272
212	0.5858405255
213	0.5847313576
214	0.5833121854
215	0.5826750722
216	0.5819176821
217	0.5808663771
218	0.5800848872
219	0.5791166983
220	0.5783295013
221	0.5775007976
222	0.576673884
223	0.5759141347
224	0.5746579838
225	0.5738746655
226	0.5728056926
227	0.5719901877
228	0.571116261
229	0.5700240687
230	0.5690249659
231	0.5680756508
232	0.5667209387
233	0.5660414323
234	0.5649973612
235	0.5640017306
236	0.5628960523
237	0.5621199873
238	0.5611367469
239	0.5600326271
240	0.5595982726
241	0.5582277157
242	0.5573953854
243	0.5563605713
244	0.5555621724
245	0.5545847594
246	0.5541412392
247	0.5532013386
248	0.5524836106
249	0.5519191371
250	0.5509056801
251	0.5502606874
252	0.549442449
253	0.5478976534
254	0.5472612462
255	0.5463744915
256	0.545200401
257	0.5443339075
258	0.5433084534
259	0.5424363847
260	0.5419213108
261	0.5413865288
262	0.540152795
263	0.5395412146
264	0.5387935292
265	0.5382253642
266	0.5369596377
267	0.5361329038
268	0.5351089244
269	0.5343159818
270	0.5337861353
271	0.5327172991
272	0.531787816
273	0.5311308469
274	0.5307256892
275	0.5300411133
276	0.5294905607
277	0.5281397115
278	0.5274686673
279	0.5263681468
280	0.5253626563
281	0.5247440586
282	0.5240056274
283	0.5232588986
284	0.5224977568
285	0.5216595072
286	0.5210131502
287	0.5198587881
288	0.5192899738
289	0.5184977461
290	0.5177675416
291	0.5169292074
292	0.5159672152
293	0.5147133486
294	0.5143548532
295	0.5134388363
296	0.5128218441
297	0.5124113157
298	0.511803853
299	0.5110982693
