iter	Passed	Remaining
0	155	46346
1	160	23848
2	165	16377
3	170	12586
4	174	10324
5	180	8838
6	185	7759
7	190	6948
8	195	6333
9	200	5826
10	205	5406
11	211	5065
12	215	4768
13	220	4513
14	226	4302
15	231	4104
16	236	3930
17	241	3782
18	246	3643
19	251	3519
20	256	3409
21	261	3307
22	266	3212
23	272	3130
24	279	3070
25	284	2997
26	289	2929
27	295	2867
28	300	2804
29	305	2748
30	311	2699
31	316	2648
32	321	2600
33	326	2552
34	331	2510
35	336	2468
36	341	2428
37	346	2391
38	352	2356
39	356	2319
40	362	2290
41	367	2260
42	374	2237
43	379	2208
44	385	2183
45	390	2158
46	397	2138
47	403	2117
48	409	2096
49	414	2074
50	420	2054
51	428	2041
52	434	2025
53	441	2011
54	448	1997
55	455	1982
56	462	1970
57	468	1955
58	475	1941
59	481	1926
60	487	1911
61	494	1896
62	500	1883
63	507	1870
64	513	1854
65	519	1841
66	525	1829
67	532	1816
68	538	1804
69	545	1790
70	551	1777
71	557	1764
72	563	1752
73	569	1739
74	575	1725
75	581	1714
76	587	1701
77	592	1686
78	598	1673
79	603	1658
80	608	1644
81	613	1630
82	618	1616
83	623	1603
84	630	1593
85	636	1584
86	642	1573
87	647	1559
88	652	1546
89	657	1534
90	662	1521
91	667	1509
92	673	1498
93	678	1486
94	683	1474
95	688	1463
96	693	1451
97	698	1440
98	703	1429
99	708	1417
100	713	1406
101	719	1396
102	724	1385
103	729	1375
104	735	1365
105	741	1356
106	746	1345
107	751	1336
108	756	1325
109	761	1315
110	767	1307
111	773	1298
112	778	1288
113	784	1280
114	789	1270
115	794	1260
116	799	1251
117	804	1241
118	809	1231
119	815	1222
120	820	1213
121	825	1204
122	830	1195
123	835	1185
124	840	1177
125	846	1169
126	851	1160
127	856	1151
128	862	1143
129	867	1134
130	872	1125
131	878	1117
132	883	1109
133	888	1100
134	893	1092
135	898	1083
136	903	1075
137	908	1066
138	913	1058
139	918	1050
140	924	1042
141	929	1033
142	934	1025
143	939	1017
144	944	1009
145	949	1001
146	954	993
147	960	986
148	965	978
149	970	970
150	975	962
151	979	953
152	984	946
153	989	938
154	994	930
155	1001	924
156	1007	917
157	1013	910
158	1018	903
159	1023	895
160	1027	887
161	1033	880
162	1038	872
163	1043	865
164	1049	858
165	1053	850
166	1059	843
167	1065	837
168	1071	830
169	1076	823
170	1081	816
171	1087	808
172	1092	801
173	1097	794
174	1102	787
175	1107	780
176	1113	773
177	1118	766
178	1124	759
179	1129	752
180	1134	745
181	1139	739
182	1145	732
183	1150	725
184	1155	718
185	1160	711
186	1165	704
187	1171	698
188	1177	691
189	1182	684
190	1187	677
191	1193	671
192	1198	664
193	1203	657
194	1209	651
195	1214	644
196	1219	637
197	1225	631
198	1231	624
199	1236	618
200	1241	611
201	1247	605
202	1252	598
203	1258	592
204	1264	586
205	1269	579
206	1275	572
207	1280	566
208	1286	559
209	1291	553
210	1296	546
211	1302	540
212	1307	533
213	1312	527
214	1317	520
215	1322	514
216	1327	507
217	1332	501
218	1337	494
219	1342	488
220	1347	481
221	1353	475
222	1358	469
223	1363	462
224	1368	456
225	1373	449
226	1378	443
227	1383	437
228	1389	430
229	1394	424
230	1399	417
231	1404	411
232	1410	405
233	1415	399
234	1421	393
235	1426	386
236	1431	380
237	1436	374
238	1441	367
239	1446	361
240	1451	355
241	1456	349
242	1461	342
243	1466	336
244	1471	330
245	1477	324
246	1482	318
247	1487	311
248	1492	305
249	1497	299
250	1502	293
251	1508	287
252	1513	281
253	1518	275
254	1523	268
255	1529	262
256	1533	256
257	1538	250
258	1544	244
259	1549	238
260	1553	232
261	1558	226
262	1564	220
263	1568	213
264	1573	207
265	1578	201
266	1583	195
267	1588	189
268	1594	183
269	1599	177
270	1604	171
271	1609	165
272	1614	159
273	1619	153
274	1624	147
275	1629	141
276	1634	135
277	1639	129
278	1644	123
279	1649	117
280	1654	111
281	1659	105
282	1664	100
283	1670	94
284	1675	88
285	1680	82
286	1685	76
287	1690	70
288	1695	64
289	1701	58
290	1706	52
291	1711	46
292	1716	41
293	1721	35
294	1725	29
295	1730	23
296	1735	17
297	1740	11
298	1745	5
299	1751	0
