iter	Accuracy	MultiClass
0	0.6474358974	1.756180165
1	0.7211538462	1.7239363962	0.7051282051	1.733820363
3	0.7211538462	1.712311538
4	0.7275641026	1.694572319
5	0.7211538462	1.677148283
6	0.7307692308	1.657472863
7	0.6955128205	1.637858554
8	0.6987179487	1.624509013
09	0.7115384615	1.60395410	010	0.7147435897	1.58295011	011	0.7179487179	1.567733532
12	0.6987179487	1.548700347
13	0.7051282051	1.536692987
14	0.7147435897	1.521943322
15	0.7019230769	1.50432301
16	0.7147435897	1.484794548
17	0.7083333333	1.467456368
18	0.7179487179	1.456552819
19	0.7179487179	1.440363147
20	0.733974359	1.426121208
