iter	Passed	Remaining
0	28	28772
1	54	27351
2	91	30436
3	117	2934844	126	25115	118	19554
6	145	20680
7	161	19989
8	180	19910
9	188	18659
10	197	17738
11	207	17105
12	215	16376
13	222	15687
14	230	15146
15	239	14705
16	245	14179
17	251	13728
18	258	13370
19	270	13232
20	275	12843
21	282	12552
22	287	12195
23	293	11924
24	299	11686
25	305	11428
26	310	11189
27	315	10940
28	318	10651
29	320	10365
30	323	10101
31	325	9849
32	327	9608
33	330	9389
34	332	9176
35	335	8982
36	338	8800
37	340	8625
38	343	8458
